date,reading
Sat Feb 23 11:27:49 2019	,30.33
Sat Feb 23 11:28:50 2019	,30.33
Sat Feb 23 11:29:50 2019	,30.33
Sat Feb 23 11:30:51 2019	,30.33
Sat Feb 23 11:31:51 2019	,30.33
Sat Feb 23 11:32:51 2019	,30.33
Sat Feb 23 11:33:52 2019	,30.33
Sat Feb 23 11:34:52 2019	,30.33
Sat Feb 23 11:35:52 2019	,30.33
Sat Feb 23 11:36:53 2019	,30.33
Sat Feb 23 11:37:53 2019	,30.33
Sat Feb 23 11:38:53 2019	,30.33
Sat Feb 23 11:39:54 2019	,30.33
Sat Feb 23 11:40:54 2019	,30.33
Sat Feb 23 11:41:54 2019	,30.33
Sat Feb 23 11:42:55 2019	,30.33
Sat Feb 23 11:43:55 2019	,30.33
Sat Feb 23 11:44:55 2019	,30.33
Sat Feb 23 11:45:56 2019	,30.33
Sat Feb 23 11:46:56 2019	,30.33
Sat Feb 23 11:47:56 2019	,30.33
Sat Feb 23 11:48:57 2019	,30.33
Sat Feb 23 11:49:57 2019	,30.33
Sat Feb 23 11:50:57 2019	,30.33
Sat Feb 23 11:51:58 2019	,30.33
Sat Feb 23 11:52:58 2019	,30.33
Sat Feb 23 11:53:58 2019	,30.33
Sat Feb 23 11:54:59 2019	,30.33
Sat Feb 23 11:55:59 2019	,30.33
Sat Feb 23 11:56:59 2019	,30.33
Sat Feb 23 11:58:00 2019	,30.33
Sat Feb 23 11:59:00 2019	,30.33
Sat Feb 23 12:00:01 2019	,30.33
Sat Feb 23 12:01:01 2019	,30.33
Sat Feb 23 12:02:01 2019	,30.33
Sat Feb 23 12:03:02 2019	,30.33
Sat Feb 23 13:34:44 2019	,28.95
Sat Feb 23 13:35:44 2019	,28.95
Sat Feb 23 13:36:45 2019	,28.95
Sat Feb 23 13:37:45 2019	,28.95
Sat Feb 23 13:38:58 2019	,28.95
Sat Feb 23 13:39:39 2019	,28.95
Sat Feb 23 13:40:39 2019	,28.95
Sat Feb 23 13:41:40 2019	,28.95
Sat Feb 23 13:42:40 2019	,28.95
Sat Feb 23 13:43:40 2019	,28.95
Sat Feb 23 13:44:41 2019	,28.95
Sat Feb 23 13:45:41 2019	,28.95
Sat Feb 23 13:46:41 2019	,28.95
Sat Feb 23 13:47:42 2019	,28.95
Sat Feb 23 13:48:42 2019	,28.95
Sat Feb 23 13:49:42 2019	,28.95
Sat Feb 23 13:50:43 2019	,28.95
Sat Feb 23 13:51:43 2019	,28.95
Sat Feb 23 13:52:43 2019	,28.95
Sat Feb 23 13:53:44 2019	,28.95
Sat Feb 23 13:54:44 2019	,28.95
Sat Feb 23 13:55:44 2019	,28.95
Sat Feb 23 13:55:59 2019	,28.95
Sat Feb 23 13:57:00 2019	,28.95
Sat Feb 23 13:58:00 2019	,28.95
Sat Feb 23 13:59:00 2019	,28.95
Sat Feb 23 14:00:01 2019	,28.95
Sat Feb 23 14:01:01 2019	,28.95
Sat Feb 23 14:02:01 2019	,28.95
Sat Feb 23 14:03:02 2019	,28.95
Sat Feb 23 14:04:02 2019	,28.95
Sat Feb 23 14:05:02 2019	,28.95
Sat Feb 23 14:06:03 2019	,28.95
Sat Feb 23 14:07:03 2019	,28.95
Sat Feb 23 14:08:04 2019	,28.95
Sat Feb 23 14:09:04 2019	,28.95
Sat Feb 23 14:10:04 2019	,28.26
Sat Feb 23 14:11:05 2019	,28.26
Sat Feb 23 14:12:05 2019	,28.26
Sat Feb 23 14:13:05 2019	,28.26
Sat Feb 23 14:14:06 2019	,28.26
Sat Feb 23 14:15:06 2019	,28.26
Sat Feb 23 14:16:06 2019	,28.26
Sat Feb 23 14:17:07 2019	,28.26
Sat Feb 23 14:18:07 2019	,28.26
Sat Feb 23 14:19:07 2019	,28.26
Sat Feb 23 14:20:08 2019	,28.26
Sat Feb 23 14:21:08 2019	,28.26
Sat Feb 23 14:22:08 2019	,28.26
Sat Feb 23 14:23:09 2019	,28.26
Sat Feb 23 14:24:09 2019	,28.26
Sat Feb 23 14:25:09 2019	,28.26
Sat Feb 23 14:26:10 2019	,28.26
Sat Feb 23 14:27:10 2019	,28.26
Sat Feb 23 14:28:10 2019	,28.26
Sat Feb 23 14:29:11 2019	,28.26
Sat Feb 23 14:30:11 2019	,28.26
Sat Feb 23 14:31:11 2019	,28.26
Sat Feb 23 14:32:12 2019	,28.26
Sat Feb 23 14:33:12 2019	,28.26
Sat Feb 23 14:34:12 2019	,28.26
Sat Feb 23 14:35:13 2019	,28.26
Sat Feb 23 14:36:13 2019	,28.26
Sat Feb 23 14:37:13 2019	,28.26
Sat Feb 23 14:38:14 2019	,28.26
Sat Feb 23 14:39:14 2019	,28.26
Sat Feb 23 14:40:14 2019	,28.26
Sat Feb 23 14:41:15 2019	,28.26
Sat Feb 23 14:42:15 2019	,28.26
