date,reading
Thu Apr 25 11:27:21 2019,29.937
Thu Apr 25 11:28:24 2019,29.937
Thu Apr 25 11:29:28 2019,29.937
Thu Apr 25 11:30:31 2019,29.937
Thu Apr 25 11:31:35 2019,29.937
Thu Apr 25 11:32:38 2019,29.937
Thu Apr 25 11:33:42 2019,29.937
Thu Apr 25 11:34:45 2019,30.0
Thu Apr 25 11:35:49 2019,30.062
Thu Apr 25 11:36:52 2019,30.062
Thu Apr 25 11:37:55 2019,30.062
Thu Apr 25 11:38:59 2019,30.125
Thu Apr 25 11:40:02 2019,30.125
Thu Apr 25 11:41:06 2019,30.187
Thu Apr 25 11:42:09 2019,30.187
Thu Apr 25 11:43:13 2019,30.187
Thu Apr 25 11:44:16 2019,30.25
Thu Apr 25 11:45:20 2019,30.25
Thu Apr 25 11:46:23 2019,30.25
Thu Apr 25 11:47:27 2019,30.187
Thu Apr 25 11:48:30 2019,30.187
Thu Apr 25 11:49:33 2019,30.187
Thu Apr 25 11:50:37 2019,30.187
Thu Apr 25 11:58:13 2019,30.437
Thu Apr 25 11:59:17 2019,30.437
Thu Apr 25 12:00:20 2019,30.437
Thu Apr 25 12:01:24 2019,30.437
Thu Apr 25 12:02:27 2019,30.375
Thu Apr 25 12:03:31 2019,30.437
Thu Apr 25 12:04:34 2019,30.437
Thu Apr 25 12:05:38 2019,30.437
Thu Apr 25 12:06:41 2019,30.437
Thu Apr 25 12:07:45 2019,30.375
Thu Apr 25 12:08:48 2019,30.375
Thu Apr 25 12:09:52 2019,30.437
Thu Apr 25 12:10:55 2019,30.437
Thu Apr 25 12:11:59 2019,30.437
Thu Apr 25 12:13:02 2019,30.437
Thu Apr 25 12:14:06 2019,30.375
Thu Apr 25 12:15:09 2019,30.375
Thu Apr 25 12:16:13 2019,30.375
Thu Apr 25 12:17:16 2019,30.375
Thu Apr 25 12:18:19 2019,30.375
Thu Apr 25 12:19:23 2019,30.375
Thu Apr 25 12:20:26 2019,30.437
Thu Apr 25 12:21:30 2019,30.375
Thu Apr 25 12:22:33 2019,30.437
Thu Apr 25 12:23:37 2019,30.437
Thu Apr 25 12:24:40 2019,30.437
Thu Apr 25 12:25:44 2019,30.437
Thu Apr 25 12:26:47 2019,30.5
Thu Apr 25 12:27:50 2019,30.5
Thu Apr 25 12:28:54 2019,30.5
Thu Apr 25 12:29:57 2019,30.5
Thu Apr 25 12:31:01 2019,30.5
Thu Apr 25 12:32:04 2019,30.5
Thu Apr 25 12:33:08 2019,30.5
Thu Apr 25 12:34:11 2019,30.5
Thu Apr 25 12:35:15 2019,30.5
Thu Apr 25 12:36:18 2019,30.5
