date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:52	25279/25279	---M-Z	200	added ('OK')	text/html	etag:%2262bf-56af7cc1824d7-gzip%22	http://qbgrow.com/magen/iot-admin/app/index.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/index.html	(from )
14:07:52	77/77	---M--	200	added ('OK')	text/plain	etag:%224d-5577e18f9962e%22	http://qbgrow.com/robots.txt		(from )
14:07:54	37414/37414	---M--	200	added ('OK')	text/css	etag:%229226-5602123b3e040%22	http://qbgrow.com/magen/iot-admin/lib/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/font-awesome/css/font-awesome.css	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:07:56	57193/57193	---M--	200	added ('OK')	text/css	etag:%22df69-56021201b8196%22	http://qbgrow.com/magen/iot-admin/lib/Ionicons/css/ionicons.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/Ionicons/css/ionicons.css	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:07:57	5594/5594	---M--	200	added ('OK')	text/css	etag:%2215da-5602122a92578%22	http://qbgrow.com/magen/iot-admin/lib/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/perfect-scrollbar/css/perfect-scrollbar.css	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:07:57	6009/6009	---M--	200	added ('OK')	text/css	etag:%221779-5602110bc1d81%22	http://qbgrow.com/magen/iot-admin/lib/rickshaw/rickshaw.min.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/rickshaw/rickshaw.min.css	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:01	37686/37686	---M-Z	200	added ('OK')	text/html	etag:%229336-5602109092f58-gzip%22	http://qbgrow.com/magen/iot-admin/app/form-elements.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/form-elements.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:05	22994/22994	---M-Z	200	added ('OK')	text/html	etag:%2259d2-56021096019d8-gzip%22	http://qbgrow.com/magen/iot-admin/app/form-layouts.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/form-layouts.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:07	24710/24710	---M-Z	200	added ('OK')	text/html	etag:%226086-560210845ce9a-gzip%22	http://qbgrow.com/magen/iot-admin/app/form-validation.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/form-validation.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:10	23028/23028	---M-Z	200	added ('OK')	text/html	etag:%2259f4-5602108a9d88d-gzip%22	http://qbgrow.com/magen/iot-admin/app/form-wizards.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/form-wizards.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:10	887092/887092	---M--	200	added ('OK')	text/css	etag:%22d8934-560210c76a55e%22	http://qbgrow.com/magen/iot-admin/css/magen-iot-admin.css	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/css/magen-iot-admin.css	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:12	16739/16739	---M-Z	200	added ('OK')	text/html	etag:%224163-560210811124d-gzip%22	http://qbgrow.com/magen/iot-admin/app/form-editor-text.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/form-editor-text.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:13	19003/19003	---M-Z	200	added ('OK')	text/html	etag:%224a3b-5602108855897-gzip%22	http://qbgrow.com/magen/iot-admin/app/accordion.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/accordion.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:13	24213/24213	---M-Z	200	added ('OK')	text/html	etag:%225e95-5602109aec6eb-gzip%22	http://qbgrow.com/magen/iot-admin/app/alerts.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/alerts.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:14	31240/31240	---M-Z	200	added ('OK')	text/html	etag:%227a08-5602107fadaad-gzip%22	http://qbgrow.com/magen/iot-admin/app/buttons.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/buttons.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:14	44800/44800	---M-Z	200	added ('OK')	text/html	etag:%22af00-5602108e4ede3-gzip%22	http://qbgrow.com/magen/iot-admin/app/cards.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/cards.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:14	44747/44747	---M-Z	200	added ('OK')	text/html	etag:%22aecb-5602109644ffe-gzip%22	http://qbgrow.com/magen/iot-admin/app/icons.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/icons.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:14	24504/24504	---M-Z	200	added ('OK')	text/html	etag:%225fb8-56021093b2c82-gzip%22	http://qbgrow.com/magen/iot-admin/app/modal.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/modal.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:15	35639/35639	---M-Z	200	added ('OK')	text/html	etag:%228b37-5602109d53ae3-gzip%22	http://qbgrow.com/magen/iot-admin/app/navigation.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/navigation.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:15	22679/22679	---M-Z	200	added ('OK')	text/html	etag:%225897-560210851388b-gzip%22	http://qbgrow.com/magen/iot-admin/app/pagination.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/pagination.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:15	23660/23660	---M-Z	200	added ('OK')	text/html	etag:%225c6c-5602107e84c91-gzip%22	http://qbgrow.com/magen/iot-admin/app/popups.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/popups.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:16	23032/23032	---M-Z	200	added ('OK')	text/html	etag:%2259f8-56021086b19b1-gzip%22	http://qbgrow.com/magen/iot-admin/app/progress.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/progress.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:16	19055/19055	---M-Z	200	added ('OK')	text/html	etag:%224a6f-560210923eb40-gzip%22	http://qbgrow.com/magen/iot-admin/app/spinners.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/spinners.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:16	19986/19986	---M-Z	200	added ('OK')	text/html	etag:%224e12-5602108cdfac2-gzip%22	http://qbgrow.com/magen/iot-admin/app/typography.html	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/app/typography.html	(from http://qbgrow.com/magen/iot-admin/app/index.html)
