date,reading
Sun Apr 21 00:14:59 2019,49.0
Sun Apr 21 00:16:00 2019,56.0
Sun Apr 21 00:17:02 2019,0.0
Sun Apr 21 00:18:03 2019,1.0
Sun Apr 21 00:19:04 2019,51.0
Sun Apr 21 00:20:05 2019,25.0
Sun Apr 21 00:21:06 2019,42.0
Sun Apr 21 00:22:07 2019,23.0
Sun Apr 21 00:23:09 2019,1.0
Sun Apr 21 00:24:10 2019,4.0
Sun Apr 21 00:25:11 2019,16.0
Sun Apr 21 00:26:12 2019,53.0
Sun Apr 21 00:27:13 2019,33.0
Sun Apr 21 00:28:14 2019,37.0
Sun Apr 21 00:29:16 2019,57.0
Sun Apr 21 00:30:17 2019,41.0
Sun Apr 21 00:31:18 2019,38.0
Sun Apr 21 00:32:19 2019,22.0
Sun Apr 21 00:33:21 2019,5.0
Sun Apr 21 00:34:23 2019,44.0
Sun Apr 21 00:35:24 2019,22.0
Sun Apr 21 00:36:26 2019,38.0
Sun Apr 21 00:37:27 2019,41.0
Sun Apr 21 00:38:28 2019,28.0
Sun Apr 21 00:39:29 2019,46.0
Sun Apr 21 00:40:30 2019,60.0
Sun Apr 21 00:41:32 2019,40.0
Sun Apr 21 00:42:33 2019,2.0
Sun Apr 21 00:43:34 2019,9.0
Sun Apr 21 00:44:35 2019,51.0
Sun Apr 21 00:45:36 2019,48.0
Sun Apr 21 00:46:37 2019,22.0
Sun Apr 21 00:47:39 2019,44.0
Sun Apr 21 00:48:40 2019,1.0
Sun Apr 21 00:49:41 2019,55.0
Sun Apr 21 00:50:42 2019,48.0
Sun Apr 21 00:51:43 2019,14.0
Sun Apr 21 00:52:45 2019,55.0
Sun Apr 21 00:53:46 2019,8.0
Sun Apr 21 00:54:47 2019,60.0
Sun Apr 21 00:55:48 2019,24.0
Sun Apr 21 00:56:49 2019,38.0
Sun Apr 21 00:57:50 2019,35.0
Sun Apr 21 00:58:52 2019,11.0
Sun Apr 21 00:59:53 2019,12.0
Sun Apr 21 01:00:54 2019,35.0
Sun Apr 21 01:01:55 2019,0.0
Sun Apr 21 01:02:56 2019,48.0
Sun Apr 21 01:03:57 2019,50.0
Sun Apr 21 01:04:59 2019,22.0
Sun Apr 21 01:06:00 2019,12.0
Sun Apr 21 01:07:01 2019,23.0
Sun Apr 21 01:08:02 2019,32.0
Sun Apr 21 01:09:03 2019,49.0
Sun Apr 21 01:10:04 2019,15.0
Sun Apr 21 01:11:06 2019,13.0
Sun Apr 21 01:12:07 2019,50.0
Sun Apr 21 01:13:08 2019,18.0
Sun Apr 21 01:25:18 2019,37.0
Sun Apr 21 01:40:54 2019,53.0
