date,reading
Thu Apr 11 20:40:02 2019,24.5
Thu Apr 11 20:41:08 2019,24.5
Thu Apr 11 20:42:14 2019,24.437
Thu Apr 11 20:43:20 2019,24.437
Thu Apr 11 20:44:27 2019,24.437
Thu Apr 11 20:45:37 2019,24.437
Thu Apr 11 20:46:45 2019,24.375
Thu Apr 11 20:47:50 2019,24.375
Thu Apr 11 20:48:58 2019,24.312
Thu Apr 11 20:50:04 2019,24.312
Thu Apr 11 20:51:09 2019,24.312
Thu Apr 11 20:52:14 2019,24.25
Thu Apr 11 20:53:19 2019,24.25
Thu Apr 11 20:54:25 2019,24.25
Thu Apr 11 20:55:35 2019,24.25
Thu Apr 11 20:56:49 2019,24.187
Thu Apr 11 20:57:59 2019,24.187
Thu Apr 11 20:59:15 2019,24.187
Thu Apr 11 21:00:36 2019,24.187
Thu Apr 11 21:01:55 2019,24.125
Fri Apr 12 12:34:40 2019,25.812
Fri Apr 12 13:15:43 2019,26.562
Fri Apr 12 13:22:09 2019,26.687
Fri Apr 12 13:22:18 2019,26.687
Fri Apr 12 13:29:10 2019,26.75
Fri Apr 12 13:30:12 2019,26.75
Fri Apr 12 13:31:44 2019,26.75
Fri Apr 12 14:42:50 2019,25.875
Fri Apr 12 14:42:54 2019,25.875
Fri Apr 12 14:45:28 2019,25.875
Fri Apr 12 14:45:32 2019,25.875
Fri Apr 12 14:45:35 2019,25.875
Fri Apr 12 14:45:39 2019,25.875
Fri Apr 12 14:46:12 2019,25.875
Fri Apr 12 14:46:17 2019,25.875
Fri Apr 12 14:48:27 2019,25.812
Fri Apr 12 14:50:16 2019,25.812
Fri Apr 12 14:50:58 2019,25.812
Fri Apr 12 14:52:05 2019,25.75
Fri Apr 12 14:52:09 2019,25.75
Fri Apr 12 14:52:13 2019,25.812
Fri Apr 12 14:52:17 2019,25.75
Fri Apr 12 14:53:52 2019,25.75
Fri Apr 12 14:53:56 2019,25.75
Fri Apr 12 14:54:00 2019,25.75
Fri Apr 12 14:54:04 2019,25.75
Fri Apr 12 14:55:42 2019,25.75
Fri Apr 12 14:55:46 2019,25.75
Fri Apr 12 14:55:50 2019,25.75
Fri Apr 12 14:55:54 2019,25.75
Fri Apr 12 14:55:58 2019,25.75
Fri Apr 12 14:56:03 2019,25.75
Fri Apr 12 14:56:07 2019,25.75
Fri Apr 12 14:56:11 2019,25.75
Fri Apr 12 14:56:15 2019,25.75
Fri Apr 12 14:56:19 2019,25.75
Fri Apr 12 14:56:23 2019,25.75
Fri Apr 12 14:56:27 2019,25.75
Fri Apr 12 14:57:53 2019,25.687
Fri Apr 12 14:58:15 2019,25.687
Fri Apr 12 14:58:41 2019,25.687
Fri Apr 12 14:58:45 2019,25.687
Fri Apr 12 14:58:49 2019,25.687
Fri Apr 12 14:58:53 2019,25.687
Fri Apr 12 14:58:58 2019,25.687
Fri Apr 12 15:00:02 2019,25.687
Fri Apr 12 15:00:06 2019,25.687
Fri Apr 12 15:00:11 2019,25.687
Fri Apr 12 15:00:15 2019,25.687
Fri Apr 12 15:00:19 2019,25.687
Fri Apr 12 15:00:24 2019,25.687
Fri Apr 12 15:00:28 2019,25.687
Fri Apr 12 15:00:33 2019,25.687
Fri Apr 12 15:00:37 2019,25.687
Fri Apr 12 15:00:41 2019,25.687
Fri Apr 12 15:00:46 2019,25.687
Fri Apr 12 15:00:50 2019,25.687
Fri Apr 12 15:09:10 2019,25.5
Fri Apr 12 15:10:13 2019,25.562
Fri Apr 12 15:11:15 2019,25.5
Fri Apr 12 15:12:17 2019,25.5
Fri Apr 12 15:13:20 2019,25.5
Fri Apr 12 15:14:22 2019,25.5
Fri Apr 12 15:15:25 2019,25.5
Fri Apr 12 15:16:27 2019,25.5
Fri Apr 12 15:17:30 2019,25.5
Fri Apr 12 15:18:32 2019,25.5
Fri Apr 12 15:19:35 2019,25.5
Fri Apr 12 15:20:37 2019,25.5
Fri Apr 12 15:21:40 2019,25.5
Fri Apr 12 15:22:42 2019,25.5
Fri Apr 12 15:23:45 2019,25.5
Fri Apr 12 15:24:48 2019,25.5
Fri Apr 12 15:25:50 2019,25.437
Fri Apr 12 15:26:53 2019,25.437
Fri Apr 12 15:27:55 2019,25.437
Fri Apr 12 15:28:58 2019,25.437
Fri Apr 12 15:30:00 2019,25.437
Fri Apr 12 15:31:03 2019,25.437
Fri Apr 12 15:32:06 2019,25.437
Fri Apr 12 15:33:13 2019,25.437
Fri Apr 12 15:34:19 2019,25.437
Fri Apr 12 15:35:22 2019,25.375
Fri Apr 12 15:36:26 2019,25.562
Fri Apr 12 15:37:35 2019,25.562
Fri Apr 12 15:38:43 2019,25.562
Fri Apr 12 15:39:49 2019,25.562
Fri Apr 12 15:40:56 2019,25.562
Fri Apr 12 15:42:03 2019,25.562
Fri Apr 12 15:43:09 2019,25.562
Fri Apr 12 15:44:13 2019,25.5
Fri Apr 12 15:45:16 2019,25.5
Fri Apr 12 15:46:18 2019,25.5
Fri Apr 12 15:47:21 2019,25.5
Fri Apr 12 15:48:25 2019,25.5
Fri Apr 12 15:49:29 2019,25.437
Fri Apr 12 15:50:36 2019,23.062
Fri Apr 12 15:51:43 2019,24.312
Sat Apr 13 13:50:15 2019,27.375
Sat Apr 13 13:51:18 2019,27.375
Sat Apr 13 13:52:20 2019,27.375
Sat Apr 13 13:53:23 2019,27.375
Sat Apr 13 13:54:25 2019,27.375
Sat Apr 13 13:55:28 2019,27.375
Sat Apr 13 13:57:09 2019,27.437
Sat Apr 13 13:58:12 2019,27.375
Sat Apr 13 13:59:14 2019,27.375
Sat Apr 13 14:00:16 2019,27.437
Sat Apr 13 14:01:19 2019,27.437
Sat Apr 13 14:02:21 2019,27.437
Sat Apr 13 14:03:24 2019,27.437
Sat Apr 13 14:04:26 2019,27.437
Sat Apr 13 14:05:29 2019,27.437
Sat Apr 13 14:06:31 2019,27.437
Sat Apr 13 14:07:34 2019,27.437
Sat Apr 13 14:08:36 2019,27.437
Sat Apr 13 14:09:39 2019,27.437
Sat Apr 13 14:10:41 2019,27.437
Sat Apr 13 14:11:44 2019,27.437
Sat Apr 13 14:12:46 2019,27.437
Sat Apr 13 14:13:48 2019,27.437
Sat Apr 13 14:14:51 2019,27.437
Sat Apr 13 14:15:53 2019,27.437
Sat Apr 13 14:16:56 2019,27.5
Sat Apr 13 14:17:58 2019,27.5
Sat Apr 13 14:19:02 2019,27.5
Sat Apr 13 16:33:54 2019,24.937
Sat Apr 13 16:34:57 2019,24.937
Sat Apr 13 16:35:59 2019,24.875
Sat Apr 13 16:37:02 2019,24.937
Sat Apr 13 16:38:04 2019,24.937
Sat Apr 13 16:39:07 2019,24.937
Sat Apr 13 16:40:09 2019,24.937
Mon Apr 15 09:23:08 2019,26.812
Mon Apr 15 11:55:53 2019,26.125
Mon Apr 15 13:03:12 2019,25.562
Mon Apr 15 13:04:15 2019,25.562
Mon Apr 15 13:05:18 2019,25.562
Mon Apr 15 13:06:22 2019,25.562
Mon Apr 15 13:07:25 2019,25.562
Mon Apr 15 13:08:29 2019,25.562
Mon Apr 15 13:09:32 2019,25.562
Mon Apr 15 13:10:36 2019,25.562
Mon Apr 15 13:11:39 2019,25.562
Mon Apr 15 13:12:43 2019,25.5
Mon Apr 15 13:13:46 2019,25.5
Mon Apr 15 13:14:49 2019,25.5
Mon Apr 15 13:15:53 2019,25.5
Mon Apr 15 13:16:56 2019,25.5
Mon Apr 15 13:18:00 2019,25.5
Mon Apr 15 13:19:03 2019,25.5
Mon Apr 15 13:20:07 2019,25.5
Mon Apr 15 13:21:10 2019,25.437
Mon Apr 15 13:22:14 2019,25.5
Mon Apr 15 13:23:17 2019,25.437
Mon Apr 15 13:24:20 2019,25.437
Mon Apr 15 13:25:24 2019,25.437
Mon Apr 15 13:26:27 2019,25.437
Mon Apr 15 13:27:31 2019,25.437
Mon Apr 15 13:28:34 2019,25.437
Mon Apr 15 13:29:38 2019,25.437
Mon Apr 15 13:30:41 2019,25.437
Mon Apr 15 13:31:45 2019,25.437
Mon Apr 15 13:32:48 2019,25.437
Mon Apr 15 13:33:51 2019,25.437
Mon Apr 15 13:34:55 2019,25.375
Mon Apr 15 13:35:58 2019,25.375
Mon Apr 15 13:37:02 2019,25.375
Mon Apr 15 13:38:05 2019,25.375
Mon Apr 15 13:39:09 2019,25.375
Mon Apr 15 13:40:12 2019,25.375
Mon Apr 15 13:41:16 2019,25.375
Mon Apr 15 13:42:19 2019,25.375
Mon Apr 15 13:43:22 2019,25.375
Mon Apr 15 13:44:26 2019,25.375
Mon Apr 15 13:45:29 2019,25.375
Mon Apr 15 13:46:33 2019,25.375
Mon Apr 15 13:47:37 2019,25.375
Mon Apr 15 13:48:40 2019,25.312
Mon Apr 15 13:49:44 2019,25.312
Mon Apr 15 13:50:47 2019,25.312
Mon Apr 15 13:51:50 2019,25.312
Mon Apr 15 13:52:54 2019,25.312
Mon Apr 15 13:53:57 2019,25.312
Mon Apr 15 13:55:01 2019,25.312
Mon Apr 15 13:56:04 2019,25.312
Mon Apr 15 13:57:08 2019,25.25
Mon Apr 15 13:58:11 2019,25.25
Mon Apr 15 13:59:14 2019,25.25
Mon Apr 15 14:00:18 2019,25.25
Mon Apr 15 14:01:21 2019,25.25
Mon Apr 15 14:02:25 2019,25.25
Mon Apr 15 14:03:28 2019,25.25
Mon Apr 15 14:04:32 2019,25.25
Mon Apr 15 14:05:35 2019,25.187
Mon Apr 15 14:06:39 2019,25.187
Mon Apr 15 14:07:42 2019,25.187
Mon Apr 15 14:08:45 2019,25.187
Mon Apr 15 14:09:49 2019,25.187
Mon Apr 15 14:10:52 2019,25.187
Mon Apr 15 14:11:56 2019,25.187
Mon Apr 15 14:12:59 2019,25.187
Mon Apr 15 14:14:03 2019,25.187
Mon Apr 15 14:15:06 2019,25.125
Mon Apr 15 14:16:10 2019,25.125
Mon Apr 15 14:17:13 2019,25.125
Mon Apr 15 14:18:17 2019,25.125
Mon Apr 15 14:19:20 2019,25.125
Mon Apr 15 14:20:23 2019,25.125
Mon Apr 15 14:21:27 2019,25.125
Mon Apr 15 14:22:30 2019,25.125
Mon Apr 15 14:23:34 2019,25.125
Mon Apr 15 14:24:37 2019,25.125
Mon Apr 15 14:25:41 2019,25.125
Mon Apr 15 14:26:44 2019,25.125
Mon Apr 15 14:27:47 2019,25.062
Mon Apr 15 14:28:51 2019,25.062
Mon Apr 15 14:29:54 2019,25.062
Mon Apr 15 14:30:58 2019,25.062
Mon Apr 15 14:32:01 2019,25.062
